subscribers,category
18200000,People & Blogs
18100000,Entertainment
18100000,Entertainment
18100000,Gaming
18100000,Education
18100000,Music
18100000,Entertainment
18000000,Howto & Style
18000000,Sports
18000000,Entertainment
18000000,News & Politics
18000000,Music
18000000,Gaming
18000000,Film & Animation
17900000,People & Blogs
17900000,People & Blogs
17900000,Entertainment
17900000,Comedy
17900000,Music
17900000,Entertainment
17900000,Music
17900000,Shows
17900000,People & Blogs
17800000,People & Blogs
17800000,Film & Animation
17700000,nan
17700000,nan
17700000,Music
17700000,People & Blogs
17700000,People & Blogs
17700000,Music
17700000,Entertainment
17700000,News & Politics
17700000,Film & Animation
17700000,Film & Animation
17600000,Gaming
17600000,Comedy
17600000,Howto & Style
17600000,Gaming
17600000,Gaming
17600000,Music
17500000,Entertainment
17500000,News & Politics
17500000,Entertainment
17500000,Gaming
17400000,Gaming
17400000,Entertainment
17400000,Music
17400000,People & Blogs
17300000,Science & Technology
17300000,Film & Animation
17300000,Entertainment
17300000,Howto & Style
17200000,Gaming
17200000,Science & Technology
17200000,Music
17200000,Education
17200000,Education
17200000,Gaming
17100000,Comedy
17100000,Entertainment
17100000,Comedy
17000000,Music
17000000,Comedy
17000000,Entertainment
17000000,Music
16900000,Music
16900000,Gaming
16900000,Entertainment
16900000,Entertainment
16900000,Comedy
16900000,People & Blogs
16900000,Nonprofits & Activism
16800000,Entertainment
16800000,Entertainment
16800000,People & Blogs
16800000,Entertainment
16800000,Film & Animation
16700000,Entertainment
16700000,Gaming
16700000,Entertainment
16700000,Music
16700000,People & Blogs
16600000,nan
16600000,Entertainment
16600000,Howto & Style
16600000,News & Politics
16600000,Entertainment
16600000,Music
16600000,Entertainment
16600000,Entertainment
16500000,Entertainment
16500000,Comedy
16500000,News & Politics
16500000,Entertainment
16400000,Howto & Style
16400000,Comedy
16400000,Sports
16400000,Entertainment
16400000,Entertainment
16400000,Entertainment
16400000,Entertainment
16300000,Entertainment
16300000,Music
16300000,Music
16300000,Music
16300000,Music
16300000,Music
16300000,Entertainment
16300000,Gaming
16300000,Gaming
16200000,Music
16200000,Entertainment
16200000,Comedy
16200000,Gaming
16200000,Music
16200000,News & Politics
16200000,Entertainment
16200000,People & Blogs
16200000,Entertainment
16200000,People & Blogs
16100000,Entertainment
16100000,nan
16100000,nan
16100000,People & Blogs
16100000,Music
16100000,Entertainment
16100000,Music
16100000,nan
16100000,Entertainment
16100000,Entertainment
16000000,People & Blogs
16000000,Education
16000000,Gaming
16000000,Gaming
16000000,Film & Animation
15900000,People & Blogs
15900000,Music
15900000,Howto & Style
15900000,Gaming
15900000,Music
15900000,Gaming
15900000,Music
15800000,Education
15800000,News & Politics
15800000,People & Blogs
15800000,Film & Animation
15700000,Film & Animation
15700000,Music
15700000,nan
15700000,Music
15700000,Music
15700000,Entertainment
15600000,Entertainment
15600000,Gaming
15600000,Science & Technology
15600000,Entertainment
15600000,People & Blogs
15500000,People & Blogs
15500000,Entertainment
15500000,Music
15500000,Education
15500000,Shows
15500000,Music
15500000,Science & Technology
15500000,Entertainment
15500000,Entertainment
15500000,Howto & Style
15400000,Comedy
15400000,Gaming
15400000,Gaming
15400000,People & Blogs
15400000,Science & Technology
15400000,Music
15400000,Music
15400000,People & Blogs
15300000,Sports
15300000,Education
15300000,Gaming
15300000,People & Blogs
15300000,Entertainment
15200000,People & Blogs
15200000,Comedy
15200000,Entertainment
15200000,Music
15200000,Entertainment
15200000,Entertainment
15200000,Entertainment
15200000,News & Politics
15200000,News & Politics
15100000,People & Blogs
15100000,Music
15100000,Education
15100000,Howto & Style
15100000,People & Blogs
15100000,People & Blogs
15100000,Howto & Style
15100000,Gaming
15100000,People & Blogs
15100000,People & Blogs
15100000,Gaming
15100000,Music
15100000,Comedy
15100000,News & Politics
15100000,Entertainment
15100000,Music
15000000,Gaming
15000000,People & Blogs
15000000,Entertainment
15000000,Gaming
15000000,Education
15000000,Entertainment
15000000,Gaming
15000000,Gaming
15000000,News & Politics
15000000,Entertainment
15000000,Music
15000000,Gaming
15000000,Entertainment
15000000,News & Politics
15000000,Comedy
15000000,Music
15000000,Entertainment
14900000,Music
14900000,Entertainment
14900000,Entertainment
14900000,Music
14900000,Entertainment
14900000,Entertainment
14900000,People & Blogs
14900000,People & Blogs
14900000,Gaming
14900000,Entertainment
14800000,Music
14800000,Education
14800000,Music
14800000,Gaming
14800000,Howto & Style
14800000,People & Blogs
14800000,Music
14800000,Music
14800000,People & Blogs
14800000,nan
14800000,People & Blogs
14700000,Entertainment
14700000,Entertainment
14700000,Entertainment
14700000,Entertainment
14700000,Education
14700000,Comedy
14700000,Comedy
14700000,Education
14700000,Entertainment
14700000,News & Politics
14700000,Music
14600000,Entertainment
14600000,People & Blogs
14600000,Gaming
14600000,People & Blogs
14600000,Gaming
14600000,Music
14600000,Music
14600000,Music
14600000,Howto & Style
14600000,Comedy
14500000,Music
14500000,Entertainment
14500000,Entertainment
14500000,nan
14500000,Howto & Style
14500000,Entertainment
14500000,News & Politics
14500000,nan
14500000,People & Blogs
14500000,Music
14500000,Entertainment
14500000,Entertainment
14500000,People & Blogs
14500000,Music
14500000,Music
14500000,Music
14500000,Comedy
14400000,Entertainment
14400000,Gaming
14400000,Entertainment
14400000,Gaming
14400000,Entertainment
14400000,Comedy
14400000,Comedy
14400000,Music
14400000,People & Blogs
14400000,Howto & Style
14400000,People & Blogs
14400000,nan
14400000,Entertainment
14400000,Film & Animation
14400000,Music
14400000,Entertainment
14300000,People & Blogs
14300000,Comedy
14200000,Music
14200000,Film & Animation
14200000,Entertainment
14200000,Howto & Style
14200000,Gaming
14200000,Gaming
14200000,Education
14200000,Music
14200000,Pets & Animals
14200000,Comedy
14200000,Entertainment
14200000,Entertainment
14100000,Music
14100000,Entertainment
14100000,Entertainment
14100000,Music
14100000,Autos & Vehicles
14100000,Entertainment
14100000,Music
14100000,Music
14100000,Sports
14100000,Entertainment
14000000,Gaming
14000000,Howto & Style
14000000,People & Blogs
14000000,Gaming
14000000,Music
14000000,Music
14000000,People & Blogs
14000000,People & Blogs
14000000,Entertainment
14000000,Entertainment
13900000,Gaming
13900000,Entertainment
13900000,Film & Animation
13900000,People & Blogs
13900000,Entertainment
13900000,Entertainment
13900000,News & Politics
13900000,Music
13900000,nan
13900000,Education
13900000,Howto & Style
13800000,Entertainment
13800000,Science & Technology
13800000,People & Blogs
13800000,Gaming
13800000,People & Blogs
13800000,News & Politics
13800000,Shows
13800000,Music
13700000,Comedy
13700000,Entertainment
13700000,Entertainment
13700000,Comedy
13700000,Howto & Style
13700000,People & Blogs
13700000,Comedy
13700000,Music
13700000,Education
13700000,Gaming
13600000,Gaming
13600000,nan
13600000,Sports
13600000,Music
13600000,Education
13600000,Pets & Animals
13600000,Entertainment
13500000,Gaming
13500000,Gaming
13500000,Howto & Style
13500000,Entertainment
13500000,Music
13500000,Entertainment
13500000,Entertainment
13500000,Comedy
13500000,Entertainment
13500000,Music
13500000,Howto & Style
13400000,nan
13400000,Music
13400000,People & Blogs
13400000,nan
13400000,Entertainment
13400000,Howto & Style
13400000,Comedy
13400000,Gaming
13400000,News & Politics
13400000,People & Blogs
13400000,People & Blogs
13300000,Science & Technology
13300000,Gaming
13300000,Entertainment
13300000,People & Blogs
13300000,Entertainment
13300000,Entertainment
13300000,People & Blogs
13300000,People & Blogs
13300000,Entertainment
13300000,Gaming
13300000,Comedy
13300000,Howto & Style
13300000,Gaming
13300000,Gaming
13200000,Entertainment
13200000,Entertainment
13200000,Gaming
13200000,Entertainment
13200000,Entertainment
13200000,nan
13200000,Entertainment
13200000,Education
13200000,Music
13200000,People & Blogs
13200000,Science & Technology
13200000,People & Blogs
13100000,Entertainment
13100000,People & Blogs
13100000,nan
13100000,Entertainment
13100000,Music
13100000,People & Blogs
13100000,People & Blogs
13100000,Film & Animation
13100000,People & Blogs
13100000,Music
13100000,People & Blogs
13100000,Entertainment
13100000,Music
13100000,Music
13000000,Entertainment
13000000,Comedy
13000000,Entertainment
13000000,Music
13000000,Entertainment
13000000,Gaming
13000000,Entertainment
13000000,nan
13000000,Entertainment
13000000,Music
13000000,Comedy
12900000,People & Blogs
12900000,Entertainment
12900000,Sports
12900000,Entertainment
12900000,Entertainment
12900000,Music
12900000,People & Blogs
12900000,Music
12900000,Music
12900000,Shows
12900000,Education
12800000,Entertainment
12800000,Comedy
12800000,Music
12800000,Howto & Style
12800000,Entertainment
12800000,Comedy
12800000,Education
12800000,Music
12700000,nan
12700000,Entertainment
12700000,Comedy
12700000,Music
12700000,nan
12700000,Music
12700000,Music
12700000,Entertainment
12700000,Howto & Style
12700000,Entertainment
12700000,Gaming
12700000,nan
12700000,People & Blogs
12600000,Gaming
12600000,People & Blogs
12600000,People & Blogs
12600000,Music
12600000,Music
12500000,Entertainment
12500000,Entertainment
12500000,nan
12500000,People & Blogs
12500000,Howto & Style
12500000,Gaming
12500000,Education
12500000,Howto & Style
12500000,Travel & Events
12500000,nan
12500000,Howto & Style
12500000,Entertainment
12500000,Entertainment
12500000,Music
12500000,Entertainment
12500000,Entertainment
12500000,Entertainment
12500000,Music
12500000,Music
12500000,People & Blogs
12500000,Comedy
12500000,Science & Technology
12400000,Comedy
12400000,nan
12400000,People & Blogs
12400000,Gaming
12400000,People & Blogs
12400000,Comedy
12400000,Entertainment
12400000,Gaming
12400000,Entertainment
12400000,Gaming
12400000,Film & Animation
12400000,People & Blogs
12400000,Music
12400000,Comedy
12400000,Howto & Style
12400000,Education
12400000,People & Blogs
12400000,Music
12400000,Education
12400000,Music
12300000,Sports
12300000,People & Blogs
12300000,nan
12300000,Gaming
12300000,Comedy
