Country,highest_monthly_earnings
Colombia,239600
India,96200
India,743900
Indonesia,287500
United States,103000
India,205300
India,567400
Singapore,3800
India,123000
India,345800
United States,1300000
Mexico,0
nan,394600
Canada,352900
Brazil,224900
United States,109500
Mexico,360000
nan,0
Saudi Arabia,363700
India,671600
Saudi Arabia,540100
Brazil,654700
United States,0
India,556500
United States,109500
Egypt,131700
India,111900
United Arab Emirates,320700
United States,221500
United States,6300
United Kingdom,670800
Thailand,331200
United States,147200
Indonesia,79000
Spain,339500
United States,308200
India,23700
Russia,1900000
India,1400000
India,261500
India,393300
Philippines,39900
India,231200
India,843600
India,423900
Turkey,17700
United States,748000
India,198600
United States,63900
nan,104200
Indonesia,68900
Andorra,0.34
Philippines,49500
United States,173600
United States,47800
Spain,23900
nan,0
Egypt,184200
Russia,382400
South Korea,163200
Argentina,2000000
Philippines,726600
Russia,2900000
United Kingdom,339000
United Kingdom,1000000
India,454300
Brazil,581900
United States,172500
United States,0
Mexico,135500
United States,167200
United States,118900
India,4
India,409400
India,968700
nan,0
United States,1300000
Indonesia,452300
Japan,1100000
Brazil,731500
India,522900
United States,479200
Indonesia,174300
United States,44200
United States,225400
Spain,55400
Thailand,198200
nan,1400000
Russia,31
Brazil,159100
Japan,10
United States,244800
United States,28700
United States,91900
Australia,84300
Ukraine,188500
United States,206600
Brazil,352500
nan,0
Germany,152
United States,4800000
United States,212700
Saudi Arabia,10800
United States,19100
Spain,906
United States,75900
India,297900
United States,145400
United States,0
United States,317600
India,1400000
United States,742800
Brazil,163900
Ecuador,65600
Spain,242300
United States,370400
Brazil,42200
United States,606800
United States,142100
Brazil,439500
United States,150500
Mexico,202700
India,556500
Brazil,0
United States,119800
United States,1800
India,92100
Brazil,11400
United States,39600
United Kingdom,265100
United States,597000
South Korea,19800
India,193800
United States,193100
Thailand,182500
India,1700000
United States,392700
Morocco,150300
nan,192800
Canada,21300
South Korea,5500
India,55600
Peru,4000
nan,0.01
Saudi Arabia,18700
France,45700
United States,34500
United States,14200
India,281600
United States,106700
United States,0
United States,160400
India,850600
nan,250800
United States,354600
India,599200
United States,1700
United States,0
Philippines,250600
Brazil,76100
Ukraine,0.42
Netherlands,143700
United Kingdom,217200
Mexico,178300
India,566800
nan,0
nan,29
India,1500000
India,239700
United States,51600
India,102400
nan,27800
nan,81
Australia,0.59
United Arab Emirates,1400000
Indonesia,704200
United States,542300
United States,395300
United Kingdom,40900
Thailand,50000
Brazil,40800
Sweden,54800
Mexico,107100
Russia,602300
Spain,806600
Mexico,282500
United States,5500000
India,534300
India,0.03
Brazil,272200
Brazil,426900
Jordan,350600
United States,18400
nan,926200
India,133900
United States,107500
Bangladesh,0
United States,389100
United States,457000
United States,176600
nan,571000
United States,398600
Canada,335800
nan,54100
Netherlands,220500
Mexico,106100
Pakistan,400200
India,314600
India,868400
Brazil,351200
India,150600
Brazil,29800
India,1500000
India,88900
India,111500
Vietnam,140500
Brazil,256200
India,95600
nan,0.02
Spain,189700
Philippines,48400
United States,122700
United States,61100
India,43100
United Kingdom,177700
United States,226500
Indonesia,53700
Canada,130200
India,118800
United Kingdom,6
United Kingdom,141200
Ukraine,300600
India,716900
United Kingdom,2000000
India,439300
United States,43100
United States,5300
United States,368900
Colombia,915600
India,4200
India,81100
India,0
United States,58000
Thailand,166700
United States,67100
Philippines,461800
United States,1600000
United States,0.01
India,174700
United States,62800
United States,7700
nan,0.01
United States,16900
United States,180400
Russia,361000
United States,647600
Ukraine,0
United States,755800
United States,69900
India,172500
Saudi Arabia,282800
Canada,21500
United States,1300000
Russia,35100
Finland,81500
nan,0
India,101300
Indonesia,1100000
Brazil,258100
United States,207300
Colombia,345100
United States,477600
India,74100
India,46000
United States,0.99
Philippines,43400
United States,227600
nan,1300000
India,137800
nan,0.01
Brazil,176000
Brazil,109400
United States,242600
Brazil,192900
Ecuador,251600
Brazil,70400
United States,203700
Samoa,2
Italy,119500
Brazil,12200
Indonesia,0
France,121900
India,0.01
South Korea,4300000
United States,164400
Pakistan,2
Mexico,1500000
Brazil,118100
United States,0
Brazil,127200
Brazil,591
Spain,48000
South Korea,16000
United States,117500
United States,365000
United Arab Emirates,320900
nan,822200
United States,303100
Ukraine,284500
Indonesia,3400
United Kingdom,111800
Iraq,141300
Spain,216000
nan,69100
Canada,72500
United States,915800
India,855000
United States,358300
India,205200
nan,0
Mexico,309900
Spain,40300
United States,186400
nan,0
United States,1900
United States,679900
United States,175500
nan,27800
Brazil,14500
United States,64500
Colombia,1300000
United Kingdom,235400
United States,23800
South Korea,452500
United States,140100
United Kingdom,146700
United Kingdom,33900
United States,61400
United States,0
nan,0
India,5600
Mexico,35500
Spain,65300
United States,445000
Mexico,124000
United States,0
nan,54000
Brazil,28600
India,234100
Mexico,463500
India,942900
India,1400000
India,720100
Brazil,854800
India,44300
nan,0
India,52600
Pakistan,35
United States,3600000
India,1100000
nan,87300
United States,110
Mexico,41100
Brazil,0
Indonesia,3200
Spain,96100
Canada,38400
Spain,330600
India,380700
India,152700
United Kingdom,139000
United States,0
India,123900
nan,0
nan,0.01
United States,200800
United States,710400
United States,197600
Brazil,2200000
India,258900
United Kingdom,268
Sweden,15500
India,96000
